,0
0,0.85
1,0.7875
2,0.8166666666666667
3,0.85
4,0.81
5,0.7625
6,0.7357142857142858
7,0.7875
8,0.8
9,0.8075
10,2.1
11,1.725
12,1.7
13,1.48125
14,1.445
15,1.4083333333333334
16,1.4464285714285714
17,1.525
18,1.4027777777777777
19,1.3925
20,1.9
21,2.175
22,2.033333333333333
23,1.83125
24,1.755
25,1.7291666666666667
26,1.75
27,1.809375
28,1.7194444444444446
29,1.6975
30,1.625
31,1.8625
32,1.8416666666666666
33,1.825
34,1.765
35,1.7083333333333333
36,1.8107142857142857
37,1.996875
38,2.0944444444444446
39,2.045
40,1.875
41,1.7375
42,2.0416666666666665
43,2.075
44,2.03
45,1.9208333333333334
46,1.8928571428571428
47,1.91875
48,1.913888888888889
49,2.0075
50,2.325
51,1.7625
52,1.5666666666666667
53,1.61875
54,1.765
55,1.7791666666666666
56,1.7214285714285715
57,1.815625
58,1.9055555555555554
59,1.91
60,2.45
61,2.3
62,2.216666666666667
63,2.3375
64,2.28
65,2.3125
66,2.4035714285714285
67,2.29375
68,2.1555555555555554
69,2.1325
70,1.425
71,2.0
72,1.8583333333333334
73,1.88125
74,1.82
75,1.8416666666666666
76,1.8821428571428571
77,1.915625
78,1.9055555555555554
79,1.9325
80,2.1
81,2.25
82,2.2
83,2.18125
84,2.185
85,2.1458333333333335
86,2.0821428571428573
87,2.078125
88,2.1444444444444444
89,2.135
90,2.35
91,2.225
92,2.15
93,2.0
94,2.23
95,2.2291666666666665
96,2.210714285714286
97,2.24375
98,2.2194444444444446
99,2.2975
100,2.65
101,2.425
102,2.4916666666666667
103,2.3625
104,2.315
105,2.3541666666666665
106,2.3892857142857142
107,2.44375
108,2.4444444444444446
109,2.5
110,2.8
111,2.825
112,2.7916666666666665
113,2.8625
114,2.875
115,2.8333333333333335
116,2.842857142857143
117,2.828125
118,2.9833333333333334
119,2.95
120,3.0
121,3.275
122,3.425
123,3.375
124,3.47
125,3.408333333333333
126,3.3285714285714287
127,3.41875
128,3.5027777777777778
129,3.4875
130,4.525
131,4.1875
132,3.9583333333333335
133,4.33125
134,4.255
135,4.283333333333333
136,4.3
137,4.296875
138,4.483333333333333
139,4.4425
140,4.225
141,4.0375
142,4.1
143,3.975
144,4.02
145,4.033333333333333
146,3.9892857142857143
147,4.003125
148,4.0
149,3.98
150,3.85
151,4.0125
152,4.125
153,3.8375
154,3.83
155,3.8916666666666666
156,3.789285714285714
157,3.73125
158,3.7694444444444444
159,3.7125
160,4.0
161,4.125
162,4.041666666666667
163,4.05625
164,4.005
165,3.975
166,4.0285714285714285
167,3.98125
168,4.033333333333333
169,4.045
170,4.275
171,3.975
172,4.241666666666666
173,3.98125
174,3.955
175,3.9125
176,4.010714285714286
177,4.04375
178,3.975
179,3.8475
180,4.4
181,4.425
182,4.5
183,4.48125
184,4.32
185,4.425
186,4.45
187,4.3875
188,4.2972222222222225
189,4.255
190,4.225
191,3.9625
192,3.9166666666666665
193,3.73125
194,4.01
195,4.041666666666667
196,4.135714285714286
197,4.2375
198,4.313888888888889
199,4.3
200,4.075
201,4.2875
202,4.266666666666667
203,4.0375
204,4.065
205,4.075
206,4.139285714285714
207,4.109375
208,4.008333333333334
209,3.965
210,3.325
211,3.6125
212,3.7333333333333334
213,3.80625
214,3.815
215,3.8958333333333335
216,3.757142857142857
217,3.646875
218,3.7222222222222223
219,3.785
220,4.225
221,4.0
222,4.1
223,4.1
224,4.275
225,4.1875
226,4.003571428571429
227,3.953125
228,3.8444444444444446
229,3.825
230,3.575
231,3.45
232,3.566666666666667
233,3.45625
234,3.49
235,3.6375
236,3.642857142857143
237,3.678125
238,3.6972222222222224
239,3.7225
240,4.225
241,4.3875
242,4.441666666666666
243,4.4375
244,4.135
245,4.279166666666667
246,4.214285714285714
247,4.23125
248,4.2444444444444445
249,4.2725
250,4.25
251,3.8125
252,3.3666666666666667
253,3.41875
254,3.765
255,3.941666666666667
256,4.014285714285714
257,3.996875
258,4.05
259,4.0725
260,3.125
261,4.0
262,3.9916666666666667
263,4.2875
264,4.285
265,4.2875
266,4.207142857142857
267,4.1125
268,4.097222222222222
269,4.105
270,3.125
271,3.625
272,3.6416666666666666
273,3.68125
274,3.77
275,3.745833333333333
276,3.767857142857143
277,3.778125
278,3.933333333333333
279,3.98
280,4.175
281,3.65
282,3.658333333333333
283,3.70625
284,3.795
285,3.845833333333333
286,3.9714285714285715
287,3.940625
288,3.8666666666666667
289,3.8225
290,4.1
291,4.0125
292,3.841666666666667
293,4.0875
294,4.015
295,4.054166666666666
296,3.9964285714285714
297,4.05625
298,4.019444444444445
299,3.6
