,0
0,0.875
1,1.075
2,1.6
3,1.525
4,2.05
5,1.7
6,2.475
7,4.075
8,4.175
9,5.2
10,3.9
11,5.125
12,5.05
13,4.325
14,3.9
15,4.8
16,4.2
17,4.55
18,4.425
19,4.3
20,4.875
21,5.225
22,5.275
23,4.625
24,5.3
25,4.8
26,4.6
27,4.725
28,4.7
29,4.65
30,4.925
31,4.95
32,4.975
33,4.75
34,4.125
35,5.45
36,4.5
37,4.1
38,5.0
39,4.375
40,4.925
41,5.275
42,4.4
43,4.525
44,4.975
45,5.575
46,4.15
47,4.375
48,5.5
49,4.825
50,4.475
51,4.675
52,4.1
53,5.55
54,3.95
55,5.25
56,5.85
57,4.175
58,4.225
59,4.95
60,4.35
61,5.4
62,6.25
63,4.85
64,5.525
65,5.475
66,4.35
67,4.925
68,5.15
69,5.0
70,4.075
71,5.125
72,4.95
73,5.375
74,4.725
75,5.375
76,4.85
77,5.225
78,4.975
79,5.05
80,5.325
81,3.875
82,4.05
83,5.45
84,4.625
85,5.2
86,4.85
87,5.575
88,4.375
89,5.0
90,4.2
91,4.825
92,5.15
93,4.375
94,4.775
95,5.025
96,6.35
97,4.375
98,4.9
99,4.75
100,4.9
101,4.975
102,4.85
103,5.6
104,5.425
105,5.25
106,4.075
107,4.55
108,5.55
109,4.725
110,5.1
111,5.875
112,5.0
113,4.65
114,4.975
115,4.45
116,4.8
117,3.925
118,4.625
119,4.875
120,5.5
121,4.925
122,4.65
123,6.225
124,4.7
125,4.875
126,4.025
127,5.225
128,4.275
129,5.75
130,5.875
131,4.6
132,4.625
133,4.65
134,4.8
135,5.225
136,5.1
137,4.85
138,5.025
139,5.05
140,6.45
141,5.25
142,4.575
143,4.8
144,5.375
145,5.375
146,4.625
147,4.775
148,5.15
149,5.375
150,4.35
151,4.15
152,4.825
153,3.775
154,4.175
155,4.175
156,4.45
157,4.625
158,4.125
159,3.925
160,4.9
161,5.55
162,5.175
163,4.8
164,2.95
165,4.325
166,4.3
167,3.95
168,4.55
169,3.725
170,3.6
171,3.05
172,4.2
173,5.15
174,4.175
175,4.35
176,4.1
177,3.65
178,3.675
179,4.225
180,3.4
181,4.55
182,3.75
183,4.875
184,4.575
185,4.1
186,4.375
187,4.625
188,4.65
189,4.175
190,4.4
191,5.275
192,3.675
193,3.975
194,4.5
195,4.575
196,4.275
197,3.95
198,5.225
199,3.375
200,4.5
201,4.275
202,4.625
203,4.0
204,5.2
205,3.75
206,4.45
207,4.7
208,5.225
209,4.1
210,4.225
211,4.175
212,4.525
213,4.65
214,3.85
215,3.9
216,3.325
217,4.325
218,4.85
219,3.7
220,3.95
221,4.575
222,4.7
223,3.625
224,5.125
225,4.075
226,4.625
227,4.025
228,4.4
229,3.85
230,4.85
231,4.0
232,4.0
233,4.825
234,4.275
235,4.225
236,4.775
237,4.15
238,3.775
239,3.95
240,5.45
241,3.675
242,3.725
243,3.85
244,4.475
245,3.9
246,4.475
247,3.9
248,4.925
249,4.575
250,4.4
251,4.15
252,4.9
253,4.15
254,3.1
255,4.975
256,2.825
257,4.5
258,4.5
259,4.125
260,3.175
261,3.5
262,4.275
263,4.425
264,5.05
265,4.475
266,3.725
267,3.85
268,4.125
269,3.475
270,4.65
271,4.075
272,4.275
273,4.05
274,3.4
275,4.45
276,4.525
277,5.25
278,4.25
279,3.975
280,3.475
281,4.075
282,3.425
283,4.1
284,3.425
285,3.5
286,4.8
287,3.6
288,4.075
289,3.95
290,3.925
291,4.0
292,4.05
293,4.125
294,4.675
295,4.95
296,4.9
297,3.65
298,5.1
299,5.325
