,0
0,0.325
1,0.675
2,0.8333333333333334
3,0.81875
4,0.7
5,0.55
6,0.85
7,0.9166666666666666
8,0.8625
9,0.95
10,1.525
11,1.3875
12,1.3083333333333333
13,1.30625
14,1.315
15,2.15
16,2.35
17,2.3666666666666667
18,2.2375
19,2.09
20,3.375
21,3.0625
22,3.0166666666666666
23,2.75
24,2.705
25,4.225
26,4.5
27,4.141666666666667
28,4.1875
29,4.12
30,4.075
31,4.425
32,4.416666666666667
33,4.50625
34,4.585
35,5.125
36,5.0
37,5.016666666666667
38,4.9625
39,4.845
40,5.25
41,5.2125
42,4.858333333333333
43,5.0
44,5.03
45,4.9
46,4.825
47,5.033333333333333
48,5.05625
49,5.0
50,4.575
51,4.4625
52,4.383333333333334
53,4.39375
54,4.49
55,3.4
56,3.575
57,3.8583333333333334
58,3.98125
59,4.09
60,4.425
61,4.15
62,4.166666666666667
63,4.1
64,4.16
65,4.05
66,3.9
67,3.808333333333333
68,3.88125
69,4.005
70,3.925
71,4.1
72,4.116666666666666
73,4.35
74,4.345
75,5.2
76,4.9375
77,4.983333333333333
78,4.71875
79,4.655
80,3.675
81,4.0
82,4.483333333333333
83,4.35625
84,4.305
85,4.225
86,3.9875
87,4.325
88,4.44375
89,4.225
90,4.625
91,4.7875
92,4.7
93,4.54375
94,4.495
95,4.125
96,4.4125
97,4.333333333333333
98,4.61875
99,5.275
