,0
0,0.675
1,1.725
2,2.1
3,1.575
4,2.2
5,2.15
6,3.1
7,1.825
8,1.9
9,1.9
10,1.55
11,2.25
12,1.475
13,3.225
14,3.0
15,1.15
16,3.025
17,2.25
18,2.6
19,3.475
20,3.975
21,4.375
22,5.425
23,4.9
24,4.425
25,4.525
26,4.2
27,4.5
28,4.9
29,4.55
30,4.6
31,5.1
32,4.775
33,4.8
34,3.3
35,4.5
36,5.725
37,4.75
38,5.1
39,5.15
40,5.5
41,5.425
42,4.625
43,5.025
44,5.325
45,3.475
46,4.45
47,4.7
48,4.825
49,5.25
50,3.95
51,4.975
52,4.825
53,3.55
54,4.15
55,3.875
56,4.025
57,4.2
58,4.45
59,4.175
60,4.1
61,4.475
62,4.175
63,5.0
64,3.85
65,3.925
66,4.0
67,4.75
68,4.0
69,3.7
70,4.65
71,4.675
72,5.125
73,4.15
74,4.95
75,4.025
76,5.05
77,4.025
78,4.075
79,4.25
80,3.475
81,4.475
82,4.45
83,4.5
84,3.975
85,4.425
86,4.225
87,4.45
88,4.0
89,4.0
90,4.975
91,3.9
92,3.35
93,3.7
94,3.775
95,3.65
96,4.075
97,3.9
98,3.75
99,4.225
